Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,,Hour,Mean DEW_POINT(C),Standard Deviation (DEW_POINT(C)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,7.925196850393701,4.169262638105435,,,,0,11.043452380952383,2.662742049828128,,,,0,12.854301075268815,3.0784732628015123,,,,0,16.258510638297874,4.563847517696055,,,,0,15.404591836734696,6.78957253746994,,,,0,22.04975609756098,5.4768748823664914,,,,0,25.980000000000004,2.815189568695563,,,,0,24.42509505703422,4.79908672103174,,,,0,21.626744186046512,6.696772757729483,,,,0,15.181045751633986,5.556121885782519,,,,0,10.656766917293233,3.873998934262235,,,,0,6.11907514450867,4.997622007939145,,,
1,8.068235294117647,3.445481670918694,,,,1,11.032738095238095,2.664169150924774,,,,1,13.248404255319148,2.912162245301696,,,,1,16.102487562189054,5.061231417725892,,,,1,15.51906779661017,7.151556721286387,,,,1,22.528436018957347,5.5400863099536455,,,,1,25.302264150943394,6.854503723006856,,,,1,24.708745247148286,6.135934760390644,,,,1,22.876515151515154,5.272870241443816,,,,1,15.972727272727274,4.773204057817756,,,,1,10.638314176245212,3.822406645072855,,,,1,6.141111111111112,3.972737495717096,,,
2,8.592134831460676,2.7551473672978624,,,,2,11.756476683937823,2.8984669917572123,,,,2,13.68212765957447,4.3230923409011695,,,,2,15.691935483870967,5.394084226353809,,,,2,15.536397058823528,7.541212667031949,,,,2,22.291162790697676,6.229731118652593,,,,2,26.286311787072243,5.752503413520125,,,,2,25.757037037037037,7.744762060192594,,,,2,23.955252918287936,6.542466903627376,,,,2,18.11082802547771,5.207944441104854,,,,2,12.074242424242426,4.1962306536707725,,,,2,6.54438202247191,4.946534016400488,,,
3,9.73617747440273,2.9020626528139926,,,,3,12.434666666666667,3.616302347241816,,,,3,13.228629032258064,3.261522214044466,,,,3,15.36328125,5.940241092194696,,,,3,15.490441176470586,7.663299460995423,,,,3,22.06111111111111,6.325409272856247,,,,3,27.314509803921567,6.417212244814872,,,,3,27.312121212121212,7.466841146869294,,,,3,25.890636704119846,5.194388571171368,,,,3,18.119062500000002,5.3492679752554695,,,,3,11.950384615384618,4.795787398868712,,,,3,8.114999999999998,5.436742028907467,,,
4,10.146333333333333,3.2518948151637517,,,,4,12.098660714285712,4.567944206942808,,,,4,12.213147410358566,4.019279540178176,,,,4,14.765019011406846,6.592477039531411,,,,4,15.361313868613138,8.126371849825263,,,,4,21.77407407407408,6.71921471340836,,,,4,28.25593869731801,4.2303697179165045,,,,4,29.018014705882354,4.52129834291723,,,,4,27.01098901098901,3.1045795271134997,,,,4,17.790490797546013,5.337424449968146,,,,4,11.056390977443609,4.5976514662413654,,,,4,8.166666666666666,4.286722840822054,,,
5,9.596551724137932,3.4741789165033423,,,,5,11.494170403587443,3.9856932607977873,,,,5,11.323622047244093,4.788954757374028,,,,5,14.012830188679246,7.5079320011191015,,,,5,14.88860294117647,8.66173436246308,,,,5,21.048372093023254,7.151391775498183,,,,5,28.17686567164179,5.059141484881151,,,,5,29.994117647058825,4.461893634959106,,,,5,26.674358974358977,3.9429821335595276,,,,5,16.96717791411043,5.262111009968338,,,,5,11.047292418772564,5.0122415016806565,,,,5,7.056741573033707,4.720988821218436,,,
6,8.568402777777777,4.064694905045568,,,,6,10.43464912280702,4.591074613307365,,,,6,10.864367816091953,5.501423925982284,,,,6,13.485338345864662,8.136516781562605,,,,6,14.442962962962962,9.09267951983793,,,,6,20.611574074074074,7.531145535564053,,,,6,27.836015325670495,6.007760452526178,,,,6,29.69666666666667,7.402148586978223,,,,6,26.776727272727275,4.213619068317942,,,,6,15.723708206686931,6.225449063034506,,,,6,10.955208333333335,5.593551653063205,,,,6,6.8977272727272725,4.0109502748648005,,,
7,7.494055944055945,4.427788874658387,,,,7,10.346753246753249,5.065371387577735,,,,7,9.568965517241379,6.018986123011293,,,,7,12.53384030418251,8.608186222598714,,,,7,13.916044776119401,9.671986207187485,,,,7,20.12962962962963,7.8581964670449445,,,,7,27.04867924528302,7.975245199456631,,,,7,30.54928057553957,6.106846863899495,,,,7,26.37518248175182,5.534962280671136,,,,7,14.519452887537993,6.747832141246774,,,,7,10.545644599303136,5.967342031923019,,,,7,5.672413793103448,4.754953609529252,,,
8,7.059786476868328,4.497597455593079,,,,8,10.579237288135593,5.5934920805842525,,,,8,9.114828897338404,6.577300568272723,,,,8,11.837786259541986,8.97242933820736,,,,8,13.123970037453185,9.977579095819511,,,,8,19.643981481481482,8.183415980552875,,,,8,26.971590909090914,7.1755944035853805,,,,8,30.516906474820146,5.592334984064068,,,,8,26.212996389891696,5.744447393717932,,,,8,13.938437500000001,7.09342944622654,,,,8,10.236082474226803,6.588715525947209,,,,8,5.356804733727811,4.066033842750425,,,
9,7.211578947368421,4.718099449906277,,,,9,10.55191489361702,5.894002230287095,,,,9,9.142264150943396,6.949045445920581,,,,9,11.662737642585553,9.19502982561265,,,,9,12.781647940074908,10.163564960928086,,,,9,19.05581395348837,8.45845943215351,,,,9,27.594615384615388,4.698048883697303,,,,9,30.93870967741936,3.707757022021642,,,,9,26.309747292418773,4.7493429841299335,,,,9,13.308307692307691,7.459389038547485,,,,9,9.892123287671232,6.799786429855681,,,,9,5.242682926829268,3.935099418826667,,,
10,7.384668989547037,4.804111386559838,,,,10,10.494915254237286,5.998945492894269,,,,10,9.015094339622642,7.021019552539202,,,,10,11.347126436781608,9.118880742476456,,,,10,12.682264150943393,10.413363446545354,,,,10,18.916901408450702,8.364815412046081,,,,10,26.087593984962407,8.05900912306706,,,,10,30.643283582089552,4.2866322543181035,,,,10,26.104626334519573,4.7512440722446145,,,,10,13.832432432432432,7.3051320414714285,,,,10,10.334707903780068,6.715341068828414,,,,10,5.646511627906977,3.7604180146911363,,,
11,7.804642857142857,4.506901043433961,,,,11,10.276495726495726,5.729590581611196,,,,11,9.499239543726237,6.414100391508746,,,,11,11.25058365758755,9.12415070669527,,,,11,12.226335877862596,10.41004511258067,,,,11,18.945581395348835,8.489422502704251,,,,11,26.144274809160304,7.973799273607133,,,,11,29.318014705882355,6.571535580222988,,,,11,26.0205035971223,5.277355292481319,,,,11,15.781212121212121,7.114386516099554,,,,11,11.583392226148412,6.017727622335362,,,,11,6.148520710059171,3.829442255631499,,,
12,8.694385964912279,4.052277253440389,,,,12,10.514084507042254,4.708187727099434,,,,12,10.151612903225807,5.70009173484427,,,,12,12.282995951417002,9.151506719376949,,,,12,12.649805447470815,10.203661982885457,,,,12,19.01028037383178,8.085280667533588,,,,12,26.626037735849057,6.060434737386681,,,,12,28.59056603773585,7.878268753192279,,,,12,25.5072202166065,4.989044155635797,,,,12,16.343072289156627,6.047600855149752,,,,12,10.963736263736266,5.112116967214965,,,,12,6.635714285714285,4.058827618001664,,,
13,9.637184115523466,3.566160148952754,,,,13,11.969590643274854,3.6361584633289525,,,,13,10.917435897435896,4.639485337255503,,,,13,13.489952153110048,7.910198401664243,,,,13,14.159808612440191,9.942659140127851,,,,13,19.894761904761907,7.5506745955624766,,,,13,26.583206106870225,6.75828756339807,,,,13,28.025670498084295,6.980788636754829,,,,13,25.60938628158845,3.431051451637373,,,,13,15.71774193548387,5.24866570428506,,,,13,11.081368821292775,5.0321168912990375,,,,13,7.003550295857988,3.299720151145047,,,
14,9.955223880597014,3.2763755722102412,,,,14,12.518452380952377,3.287035136080487,,,,14,11.363157894736842,4.0266363821453535,,,,14,13.649038461538462,6.716533778558752,,,,14,14.161576354679804,8.823658383505139,,,,14,20.583809523809524,6.61276001464879,,,,14,27.245149253731338,4.077369146499714,,,,14,26.56780303030303,9.005506801345593,,,,14,25.04798534798535,4.1110506807164295,,,,14,15.768627450980391,5.09884608999355,,,,14,11.066415094339622,4.915893014456628,,,,14,7.377380952380951,3.086755547051991,,,
15,9.880544747081712,3.0851992120378204,,,,15,12.578571428571427,2.9892693576385865,,,,15,12.12751322751323,3.20510252187835,,,,15,13.777722772277228,5.9987497676290795,,,,15,14.603960396039604,8.311865797047886,,,,15,20.55428571428571,6.33908553674557,,,,15,27.09924812030075,4.8260336652821145,,,,15,26.147528517110263,7.23382314642994,,,,15,24.708955223880597,3.827453123933139,,,,15,15.877960526315789,4.923360779677118,,,,15,11.086891385767789,4.705373500023118,,,,15,7.270175438596492,3.782552972102989,,,
16,9.769140625,2.970076158362713,,,,16,12.558928571428572,2.7177838126018807,,,,16,12.6524064171123,2.5587497125568226,,,,16,14.215577889447237,5.566871548446045,,,,16,15.189705882352941,7.815215295151711,,,,16,20.80952380952381,6.2828871708645275,,,,16,27.289772727272727,4.294236088608863,,,,16,26.23984375,6.479888837826304,,,,16,23.688214285714288,4.992376726835933,,,,16,16.048494983277592,4.61283900522248,,,,16,11.040000000000001,4.643419364673669,,,,16,7.198275862068965,3.539538156409919,,,
17,9.473306772908366,2.8221739772174237,,,,17,12.451785714285714,2.7213654926447903,,,,17,13.163101604278076,2.4479341951737936,,,,17,14.03061224489796,5.212943235464644,,,,17,15.236945812807878,7.435328034943147,,,,17,21.430143540669853,6.138356970328913,,,,17,27.245283018867923,3.905475886627953,,,,17,25.198076923076922,9.532262835408684,,,,17,23.755471698113208,5.603049899271584,,,,17,16.078333333333333,4.514144129535766,,,,17,10.982264150943397,4.668912297680459,,,,17,7.177245508982035,3.5398615732383396,,,
18,9.388537549407115,2.738956812821824,,,,18,12.091666666666665,2.662066344444147,,,,18,13.256989247311829,2.650619641471659,,,,18,14.31128205128205,5.192161340134331,,,,18,15.173529411764706,7.4657443382187125,,,,18,21.767788461538462,6.078791228641212,,,,18,26.99656488549618,4.3010059662973905,,,,18,25.7412,5.238803542794862,,,,18,23.94106463878327,3.7433421261472173,,,,18,16.030666666666665,4.580326722941158,,,,18,11.095801526717556,4.613358210227722,,,,18,7.118343195266272,3.689031508135411,,,
19,9.38300395256917,2.6799334227144533,,,,19,11.84047619047619,2.852572733834154,,,,19,13.280748663101605,2.785764706683048,,,,19,14.571875,5.0855432994953125,,,,19,15.220197044334974,7.195266366803411,,,,19,22.011483253588516,6.088946939615389,,,,19,26.338996138996137,5.7752554771403775,,,,19,25.55102880658436,6.594344516325578,,,,19,22.524615384615384,8.344704092448847,,,,19,15.810333333333334,4.38647085429227,,,,19,10.933333333333332,4.34821127860018,,,,19,6.789595375722543,4.538761303653158,,,
