Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,0.8496376811594203,3.1366868215604726,,,,0,0.44387755102040816,1.1347539809364604,,,,0,0.49295774647887325,1.691235951948455,,,,0,0.15714285714285714,0.5765838877317304,,,,0,0.1875,0.5174247436918874,,,,0,0.13875598086124402,0.42061743494422793,,,,0,1.3258426966292134,6.293285074104365,,,,0,1.5863309352517985,6.711803212647254,,,,0,2.142857142857143,7.544497429305338,,,,0,0.015151515151515152,0.2748235931396524,,,,0,0.11148648648648649,0.5908106717192784,,,,0,0.09278350515463918,1.0262781744119436,,,
1,0.8808664259927798,3.12961202890583,,,,1,0.467005076142132,1.1333332828093734,,,,1,0.48847926267281105,1.679671350008688,,,,1,0.14798206278026907,0.5607353912947298,,,,1,0.16115702479338842,0.48410638487024715,,,,1,0.13615023474178403,0.41707478524906694,,,,1,1.3370786516853932,6.391023351600688,,,,1,1.6093189964157706,6.773979249801103,,,,1,2.0805860805860807,7.450994256300651,,,,1,0.021212121212121213,0.29568367183946787,,,,1,0.11418685121107267,0.5976651048399699,,,,1,0.0945273631840796,1.0771345349886365,,,
2,0.9166666666666666,3.2107674748847472,,,,2,0.4863636363636364,1.1696135548840887,,,,2,0.4367816091954023,1.6167311239096314,,,,2,0.11583011583011583,0.4913345490529205,,,,2,0.16117216117216118,0.47234286651472146,,,,2,0.13425925925925927,0.41447468694477574,,,,2,1.3605947955390334,6.523626578478998,,,,2,1.7870036101083033,7.465065017452186,,,,2,2.1605839416058394,7.504483892389204,,,,2,0.015015015015015015,0.27358659396829726,,,,2,0.11262798634812286,0.5937193360517639,,,,2,0.09644670050761421,1.0879298851380188,,,
3,0.37859424920127793,2.1242450878356207,,,,3,0.09523809523809523,0.5832118435198043,,,,3,0.1323529411764706,0.7256723406750193,,,,3,0.049429657794676805,0.30432506165420137,,,,3,0.04411764705882353,0.26755007939206255,,,,3,0.05092592592592592,0.2399827811610081,,,,3,0.724907063197026,5.003212025046603,,,,3,0.8309352517985612,5.4782283136283505,,,,3,0.625,3.592143182984056,,,,3,0.015060240963855422,0.27399706925693146,,,,3,0.04861111111111111,0.307992178632454,,,,3,0.08629441624365482,1.1389125522374175,,,
4,0.390625,2.5397907609437045,,,,4,0.02390438247011952,0.15275131085801444,,,,4,0.003676470588235294,0.06052234423953797,,,,4,0.0037735849056603774,0.06131349739347894,,,,4,0.0,0.0,,,,4,0.027777777777777776,0.16433554953054486,,,,4,0.04868913857677903,0.302096551761435,,,,4,0.0035971223021582736,0.05986804668019151,,,,4,0.08029197080291971,0.5134454129947146,,,,4,0.0,0.0,,,,4,0.023972602739726026,0.15296377694607735,,,,4,0.0049261083743842365,0.07001315469729999,,,
5,0.4267515923566879,2.615981801432763,,,,5,0.027777777777777776,0.16433554953054486,,,,5,0.007326007326007326,0.08527799799870193,,,,5,0.0037735849056603774,0.06131349739347894,,,,5,0.0,0.0,,,,5,0.027906976744186046,0.16470633683372812,,,,5,0.11895910780669144,0.9129251742571856,,,,5,0.01079136690647482,0.10331947206003647,,,,5,0.12773722627737227,0.7654234005077591,,,,5,0.0,0.0,,,,5,0.02364864864864865,0.15195193340573668,,,,5,0.005,0.07053367989832943,,,
6,0.44551282051282054,2.634262484943219,,,,6,0.047619047619047616,0.21295885499998,,,,6,0.01098901098901099,0.10425091187368284,,,,6,0.0037593984962406013,0.06119857366954777,,,,6,0.0,0.0,,,,6,0.027777777777777776,0.16433554953054486,,,,6,0.13157894736842105,0.9932000700290243,,,,6,0.010752688172043012,0.1031361617916714,,,,6,0.15636363636363637,0.86187188171785,,,,6,0.0,0.0,,,,6,0.02364864864864865,0.15195193340573668,,,,6,0.010101010101010102,0.14177443280422422,,,
7,0.4520766773162939,2.629873325196606,,,,7,0.04743083003952569,0.2125585716956325,,,,7,0.01107011070110701,0.10463060427127548,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.027777777777777776,0.16433554953054486,,,,7,0.1412639405204461,0.9918477560732772,,,,7,0.01079136690647482,0.10331947206003647,,,,7,0.20727272727272728,1.1138556370397776,,,,7,0.0,0.0,,,,7,0.023972602739726026,0.15296377694607735,,,,7,0.010101010101010102,0.14177443280422422,,,
8,0.45792880258899676,2.647556774686773,,,,8,0.04780876494023904,0.21336139982463562,,,,8,0.014705882352941176,0.12037283488047723,,,,8,0.0076045627376425855,0.12309060118812659,,,,8,0.0,0.0,,,,8,0.05555555555555555,0.2290614236454256,,,,8,0.16356877323420074,0.9996337135448026,,,,8,0.17204301075268819,1.1228195683618591,,,,8,0.27075812274368233,1.3063205703310814,,,,8,0.0,0.0,,,,8,0.023728813559322035,0.1522030123433468,,,,8,0.015228426395939087,0.2131979695431472,,,
9,0.4681528662420382,2.629560962520702,,,,9,0.04838709677419355,0.21458281767177537,,,,9,0.02952029520295203,0.16925970392885187,,,,9,0.007575757575757576,0.12285814197141558,,,,9,0.0,0.0,,,,9,0.05581395348837209,0.22956209635819655,,,,9,0.2247191011235955,1.0431098238519376,,,,9,0.2867383512544803,2.004529755543412,,,,9,0.24187725631768953,1.2207505293753058,,,,9,0.0,0.0,,,,9,0.02711864406779661,0.16242913289099578,,,,9,0.015625,0.2159417962669571,,,
10,0.48264984227129337,2.618277526440861,,,,10,0.072,0.2735251359564601,,,,10,0.04059040590405904,0.19733936468075183,,,,10,0.007633587786259542,0.12332438489621,,,,10,0.011320754716981131,0.10579506240661271,,,,10,0.06103286384976526,0.239390587492619,,,,10,0.35555555555555557,1.8537915767088127,,,,10,0.49097472924187724,2.3967693635460354,,,,10,0.3286219081272085,1.6670133282466089,,,,10,0.0,0.0,,,,10,0.02711864406779661,0.16242913289099578,,,,10,0.014925373134328358,0.21107665110046198,,,
11,0.501628664495114,2.6609427351899377,,,,11,0.14056224899598393,0.6211801221200098,,,,11,0.04428044280442804,0.20571748877883914,,,,11,0.007782101167315175,0.12451361867704279,,,,11,0.030534351145038167,0.17205233083335336,,,,11,0.08796296296296297,0.2832410282952301,,,,11,0.7444444444444445,4.9251308185922245,,,,11,0.8781362007168458,4.803618942962826,,,,11,0.3607142857142857,1.7305736632925028,,,,11,0.0,0.0,,,,11,0.027491408934707903,0.18332616726253115,,,,11,0.015306122448979591,0.21373836801687154,,,
12,0.5096153846153846,2.6408836624769503,,,,12,0.1875,0.7598313957714566,,,,12,0.05,0.21794494717703367,,,,12,0.008097165991902834,0.1269990861648431,,,,12,0.05058365758754864,0.2191459586043381,,,,12,0.08878504672897196,0.2844332297856674,,,,12,0.8376383763837638,5.277836443313196,,,,12,1.1870503597122302,6.144621963099628,,,,12,0.3237410071942446,1.2959029370023667,,,,12,0.0,0.0,,,,12,0.030100334448160536,0.18942879275593708,,,,12,0.015228426395939087,0.2131979695431472,,,
