Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,,Hour,Mean SUNSHINE,Standard Deviation (SUNSHINE),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,,0,0.0,0.0,,,
1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,,1,0.0,0.0,,,
2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,,2,0.0,0.0,,,
3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,,3,0.0,0.0,,,
4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,,4,0.0,0.0,,,
5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,,5,0.0,0.0,,,
6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,,6,0.0,0.0,,,
7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,,7,0.0,0.0,,,
8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,,8,0.0,0.0,,,
9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,,9,0.0,0.0,,,
10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,,10,0.0,0.0,,,
11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.0,0.0,,,,11,0.00011904761904761905,0.0010845754260886073,,,
