Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
0,9.504710144927538,2.9776485450793255,,,,0,11.491326530612247,2.7558428236907786,,,,0,14.855399061032863,2.8288140907452926,,,,0,22.435714285714287,3.3720999129814127,,,,0,26.533173076923074,2.680575700372775,,,,0,29.07942583732057,2.762584542515892,,,,0,27.683895131086143,2.1585478100284323,,,,0,26.487410071942445,1.0356347500147551,,,,0,26.308646616541356,3.789950161744029,,,,0,21.53060606060606,5.422461947499907,,,,0,16.28344594594595,3.199687952023041,,,,0,12.502061855670103,4.988522484012021,,,
1,9.42418772563177,3.118309700325123,,,,1,11.266497461928934,2.787862455776573,,,,1,14.991244239631335,3.003111569194363,,,,1,23.734977578475334,3.5779388653470523,,,,1,28.11487603305785,2.729428274133699,,,,1,30.38262910798122,2.910823034877487,,,,1,28.112734082397004,2.28615496189829,,,,1,26.905376344086022,1.080458444255483,,,,1,26.523809523809526,3.5548219524896,,,,1,21.756363636363638,5.327729528455311,,,,1,16.07266435986159,3.3205213083668075,,,,1,12.500995024875623,4.9757420512094725,,,
2,9.742361111111112,3.028879052395987,,,,2,12.130454545454544,2.78457272268725,,,,2,17.990038314176243,3.76899739690045,,,,2,26.844015444015444,3.1803075444022015,,,,2,30.046886446886443,3.0399777408332067,,,,2,32.1449074074074,3.0641553713176424,,,,2,29.057992565055763,2.5719355504718915,,,,2,27.98086642599278,1.5760488365614107,,,,2,27.72043795620438,3.077043293265845,,,,2,23.76786786786787,4.1573070322408086,,,,2,17.206143344709897,2.5948024591436414,,,,2,12.622335025380712,4.811176563832087,,,
3,11.055591054313098,2.3900169874240573,,,,3,14.261507936507936,2.9835505553959827,,,,3,20.719117647058823,4.103218154260542,,,,3,29.166539923954375,3.273877221016697,,,,3,32.10955882352942,3.268777849425184,,,,3,33.786111111111104,3.2649501820637368,,,,3,30.253159851301113,2.873588105957489,,,,3,29.121942446043164,1.9057053218338764,,,,3,28.409191176470586,2.1872012586418514,,,,3,25.40421686746988,2.230885404476944,,,,3,18.727777777777778,2.116500795483893,,,,3,11.498984771573605,3.3823067526927892,,,
4,13.149687499999999,2.714026050417304,,,,4,16.40358565737052,3.252707589835516,,,,4,23.04154411764706,4.2290663304641365,,,,4,31.2811320754717,3.4573987715586036,,,,4,33.948905109489054,3.515422056008596,,,,4,35.0162037037037,3.6092943851263786,,,,4,31.320224719101123,2.986405394109404,,,,4,30.155035971223022,2.0614550543613883,,,,4,29.845985401459853,2.449117660231026,,,,4,27.691104294478524,1.935544344459217,,,,4,21.49486301369863,2.323747485957764,,,,4,14.25073891625616,4.105377579439717,,,
5,15.34044585987261,2.8942488203901875,,,,5,18.3765873015873,3.488923439427692,,,,5,24.859706959706962,4.266110072680102,,,,5,32.93245283018868,3.622623309702711,,,,5,35.55992647058823,3.543715023963413,,,,5,36.36186046511628,3.7329751560134627,,,,5,32.190334572490706,3.0885655949857447,,,,5,30.845683453237406,2.3517250825355682,,,,5,30.944160583941603,2.5514670582618306,,,,5,29.52978723404255,1.903019585121705,,,,5,23.654054054054054,2.26634836598372,,,,5,16.496,4.351124452368606,,,
6,17.082371794871797,2.8349089010324806,,,,6,19.915079365079368,3.6288213019271462,,,,6,26.24432234432234,4.332124528341859,,,,6,34.317669172932334,3.6831800960415655,,,,6,36.94259259259259,3.5509624074614465,,,,6,37.545833333333334,3.8505147864110807,,,,6,32.92744360902256,3.277967955302948,,,,6,31.43405017921147,2.4173851533342594,,,,6,31.803999999999995,2.6331630478122006,,,,6,30.931419939577037,1.8969949464012548,,,,6,25.138513513513512,2.1746240323903847,,,,6,18.25858585858586,4.395406465869119,,,
7,18.402555910543132,2.7600863273481044,,,,7,21.058102766798417,3.4215406287261834,,,,7,27.397047970479708,4.364194146404847,,,,7,35.50570342205323,3.7003244359181435,,,,7,37.96654275092937,3.5226399385472527,,,,7,38.4412037037037,3.916408553573644,,,,7,33.47843866171004,3.4901960108556946,,,,7,32.112949640287766,2.3713012707980314,,,,7,32.30981818181819,2.70825236564709,,,,7,31.821818181818184,1.891578552819735,,,,7,26.23390410958904,2.2050334303953747,,,,7,19.598989898989895,4.283949252957856,,,
8,19.184142394822004,2.738714588606613,,,,8,21.80199203187251,3.370016021326939,,,,8,28.059926470588238,4.440635055988702,,,,8,36.277946768060836,3.74689330945672,,,,8,38.70262172284644,3.534786022900525,,,,8,39.25,3.7812035121109253,,,,8,33.50892193308551,3.750766259933627,,,,8,32.33906810035842,2.475618859456727,,,,8,32.85018050541516,2.705958454735315,,,,8,32.34658385093167,1.9201782738114364,,,,8,26.6864406779661,2.174245057143926,,,,8,20.373096446700504,4.1278473705499215,,,
