DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),
2018-01-01,0:00:00,0,0,12.8,12.8,13.3,,12.6,99,,359,0,None,1016.2,1022.7,00.00,
2018-01-01,1:00:00,0,0,12.4,12.4,12.9,,12.2,99,,227,2,None,1017.1,1023.6,00.00,
2018-01-01,4:00:00,0,0,21.6,17.5,21.6,,16.5,73,,114,2,None,1018.7,1025.0,00.00,
2018-01-01,7:00:00,0,0,26.2,24.9,26.2,,16.5,55,,040,2,None,1015.3,1021.5,00.00,
2018-01-01,8:00:00,0,0,26.4,25.8,26.4,,16.1,53,,064,3,None,1014.0,1020.2,00.00,
2018-01-01,9:00:00,0,0,25.9,25.9,26.6,,15.0,51,,057,4,None,1013.3,1019.5,00.00,
2018-01-01,11:00:00,0,0,23.1,23.1,25.0,,16.2,65,,063,2,None,1013.2,1019.5,00.00,
2018-01-01,12:00:00,0,0,20.5,20.5,22.9,,16.1,76,,182,1,None,1013.7,1020.0,00.00,
2018-01-01,13:00:00,0,0,18.9,18.9,20.5,,16.7,87,,235,2,None,1014.3,1020.7,00.00,
2018-01-01,14:00:00,0,0,18.1,18.1,19.0,,16.6,91,,235,2,None,1014.8,1021.2,00.00,
2018-01-01,23:00:00,0,0,14.6,14.1,14.8,,14.4,99,,359,0,None,1013.9,1020.4,00.00,
2018-01-02,1:00:00,0,0,14.0,13.7,14.0,,13.8,99,,159,1,None,1014.6,1021.1,00.00,
2018-01-02,4:00:00,0,0,20.6,17.5,20.6,,16.8,79,,074,3,None,1016.7,1023.1,00.00,
2018-01-02,6:00:00,0,0,24.2,22.8,24.5,,16.5,62,,064,4,None,1014.7,1021.0,00.00,
2018-01-02,7:00:00,0,0,24.3,23.5,24.7,,16.6,62,,062,4,None,1013.7,1020.0,04.16,
2018-01-02,8:00:00,0,0,24.9,24.5,25.3,,16.4,59,,069,5,None,1012.4,1018.6,00.00,
2018-01-02,11:00:00,0,0,23.0,23.0,24.5,,16.8,68,,132,1,None,1011.8,1018.1,00.00,
2018-01-02,12:00:00,0,0,27.6,21.2,23.0,,22.3,73,,049,2,None,1012.3,1018.5,00.00,
2018-01-02,13:00:00,0,0,20.2,20.2,21.2,,16.0,77,,026,1,None,1013.2,1019.5,00.00,
2018-01-03,1:00:00,0,1,14.8,14.4,14.8,,14.6,99,,213,2,None,1014.7,1021.2,00.00,
2018-01-03,3:00:00,0,1,16.4,15.6,16.4,,16.2,99,,217,1,None,1016.3,1022.7,00.00,
2018-01-05,1:00:00,0,0,11.9,11.2,11.9,,11.7,99,,359,0,None,1017.5,1024.1,00.00,
2018-01-05,2:00:00,0,0,12.8,11.7,12.8,,12.6,99,,359,0,None,1018.2,1024.7,00.00,
2018-01-05,7:00:00,0,0,23.5,22.4,23.6,,15.6,61,,050,2,None,1015.0,1021.3,00.00,
2018-01-05,10:00:00,0,0,23.3,23.3,24.8,,14.9,59,,080,1,None,1012.6,1018.9,00.00,
2018-01-05,11:00:00,0,0,20.6,20.6,23.6,,16.0,75,,201,1,None,1012.4,1018.7,00.00,
2018-01-05,14:00:00,0,0,15.9,15.8,16.7,,15.4,97,,210,2,None,1014.0,1020.4,00.00,
2018-01-05,18:00:00,0,0,14.6,14.2,15.0,,14.4,99,,179,2,None,1014.3,1020.8,00.00,
2018-01-06,3:00:00,0,0,15.4,13.9,15.5,,14.1,92,,222,2,None,1017.0,1023.5,00.00,
2018-01-06,4:00:00,0,0,18.7,15.5,18.9,,13.7,73,,278,2,None,1017.3,1023.7,00.00,
2018-01-06,5:00:00,0,0,20.9,18.7,20.9,,11.5,55,,273,3,None,1016.6,1022.9,00.00,
2018-01-06,6:00:00,0,0,22.4,20.7,22.5,,13.2,56,,285,3,None,1015.3,1021.6,00.00,
2018-01-06,8:00:00,0,0,23.9,22.9,24.0,,12.6,49,,310,3,None,1013.3,1019.6,00.00,
2018-01-10,4:00:00,0,0,17.7,13.7,17.9,,12.6,72,,086,1,None,1022.0,1028.5,00.00,
2018-01-10,6:00:00,0,0,21.6,20.6,21.8,,12.2,55,,181,3,None,1019.3,1025.6,00.00,
2018-01-10,8:00:00,0,0,23.3,22.4,23.4,,11.4,47,,109,13,None,1016.6,1022.9,00.00,
2018-01-11,0:00:00,0,0,9.9,9.8,10.5,,9.7,99,,207,1,None,1018.6,1025.2,00.00,
2018-01-11,1:00:00,0,0,10.1,9.8,10.2,,9.9,99,,359,0,None,1019.2,1025.8,00.00,
2018-01-11,2:00:00,0,0,11.0,10.0,11.1,,10.8,99,,232,1,None,1020.2,1026.8,00.00,
2018-01-11,3:00:00,0,0,13.8,11.1,13.9,,13.1,96,,097,2,None,1021.1,1027.6,00.00,
2018-01-11,4:00:00,0,0,17.6,14.1,17.8,,12.9,74,,079,2,None,1020.9,1027.3,00.00,
2018-01-11,7:00:00,0,0,22.3,21.1,22.3,,13.9,59,,184,3,None,1016.8,1023.1,00.00,
2018-01-11,11:00:00,0,0,19.3,19.2,22.0,,14.3,73,,232,1,None,1016.0,1022.4,00.00,
2018-01-11,16:00:00,0,0,13.3,13.3,13.8,,12.8,97,,227,1,None,1018.7,1025.2,00.00,
2018-01-11,18:00:00,0,0,11.8,11.9,12.8,,11.6,99,,307,1,None,1018.3,1024.9,00.00,
2018-01-12,1:00:00,0,0,9.5,8.8,9.7,,9.3,99,,202,2,None,1018.7,1025.3,00.00,
2018-01-12,3:00:00,0,0,12.5,10.2,12.5,,12.3,99,,074,2,None,1020.3,1026.9,00.00,
2018-01-12,4:00:00,0,0,15.1,12.5,15.2,,13.4,90,,123,3,None,1020.6,1027.1,00.00,
2018-01-12,6:00:00,0,0,20.1,17.8,20.2,,13.5,66,,172,3,None,1018.2,1024.6,00.00,
2018-01-12,10:00:00,0,0,22.5,22.5,23.0,,13.3,56,,076,2,None,1014.7,1021.0,00.00,
2018-01-13,1:00:00,0,0,10.5,10.0,11.1,,10.3,99,,225,1,None,1018.5,1025.1,00.00,
2018-01-13,2:00:00,0,0,11.7,10.3,11.7,,11.5,99,,216,3,None,1019.3,1025.9,00.00,
2018-01-13,4:00:00,0,0,13.2,12.5,13.2,,13.0,99,,208,2,None,1020.4,1026.9,00.00,
2018-01-13,7:00:00,0,0,21.4,19.2,21.4,,13.3,60,,307,2,None,1016.4,1022.7,00.00,
2018-01-15,1:00:00,0,0,11.3,11.1,11.5,,11.1,99,,359,0,None,1018.1,1024.7,00.00,
2018-01-15,3:00:00,0,0,14.3,12.1,14.4,,14.1,99,,211,1,None,1019.8,1026.3,00.00,
2018-01-15,7:00:00,0,0,23.7,22.4,24.0,,13.9,54,,343,3,None,1015.5,1021.8,00.00,
2018-01-15,8:00:00,0,0,24.3,23.7,24.4,,13.8,52,,276,1,None,1014.3,1020.6,00.00,
2018-01-16,2:00:00,0,0,12.8,11.6,12.9,,12.6,99,,286,1,None,1018.9,1025.4,00.00,
2018-01-16,3:00:00,0,0,14.7,13.0,14.8,,14.5,99,,200,1,None,1020.2,1026.7,00.00,
2018-01-16,7:00:00,0,0,22.9,21.0,23.0,,15.0,61,,245,2,None,1015.9,1022.2,00.00,
2018-01-16,9:00:00,0,0,24.4,23.6,24.5,,14.8,55,,134,2,None,1013.8,1020.1,00.00,
2018-01-16,15:00:00,0,0,15.6,15.5,17.0,,15.1,97,,212,1,None,1016.2,1022.7,00.00,
2018-01-16,16:00:00,0,0,15.2,15.0,15.6,,15.0,99,,359,0,None,1016.6,1023.1,00.00,
2018-01-16,17:00:00,0,0,14.5,14.3,15.2,,14.3,99,,253,1,None,1016.7,1023.2,00.00,
2018-01-16,19:00:00,0,0,13.8,13.3,14.0,,13.6,99,,226,2,None,1017.0,1023.5,00.00,
2018-01-17,0:00:00,0,0,13.1,12.9,13.3,,12.9,99,,187,1,None,1017.0,1023.5,00.00,
2018-01-17,12:00:00,0,0,19.4,19.4,22.2,,16.6,84,,127,1,None,1014.3,1020.7,00.00,
2018-01-17,22:00:00,0,0,13.8,13.7,14.1,,13.6,99,,200,1,None,1015.7,1022.2,00.00,
2018-01-17,23:00:00,0,0,13.5,13.5,14.0,,13.3,99,,144,1,None,1015.9,1022.4,00.00,
2018-01-18,1:00:00,0,0,12.6,12.4,13.5,,12.4,99,,359,0,None,1017.6,1024.1,00.00,
