DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),
2018-01-01,5:00:00,0,0,30.1,28.0,30.1,,27.3,85,,110,4,None,1007.8,1014.5,09.00,
2018-01-01,6:00:00,0,0,31.2,30.0,31.5,,24.9,69,,256,5,None,1007.1,1013.8,10.00,
2018-01-01,7:00:00,0,0,32.2,31.2,32.7,,26.5,72,,282,5,None,1005.9,1012.6,11.00,
2018-01-01,8:00:00,0,0,31.5,31.5,32.2,,26.3,74,,249,7,None,1004.9,1011.6,12.00,
2018-01-01,9:00:00,0,0,31.3,31.3,32.0,,26.6,76,,284,7,None,1004.4,1011.1,13.00,
2018-01-01,10:00:00,0,0,31.1,31.0,31.7,,25.2,71,,277,8,None,1003.7,1010.4,14.00,
2018-01-01,11:00:00,0,0,30.3,30.1,31.1,,25.2,74,,314,7,None,1003.4,1010.1,15.00,
2018-01-01,12:00:00,0,0,29.1,29.1,30.3,32.7,25.3,80,,312,5,None,1004.0,1010.7,16.00,
2018-01-01,13:00:00,0,0,27.4,27.4,29.1,,26.8,97,,302,4,None,1004.5,1011.3,17.00,
2018-01-01,14:00:00,0,0,27.2,27.1,27.4,,27.2,100,,303,4,None,1005.3,1012.1,18.00,
2018-01-01,15:00:00,0,0,27.1,27.1,27.2,,27.1,100,,307,4,None,1006.2,1013.0,19.00,
2018-01-01,16:00:00,0,0,26.5,26.5,27.1,,26.5,100,,91,5,None,1006.7,1013.5,20.00,
2018-01-01,17:00:00,0,0,25.6,25.6,26.5,,25.6,100,,89,3,None,1006.7,1013.5,00.31,
2018-01-01,18:00:00,0,0,25.1,25.0,25.6,,25.1,100,,91,5,None,1006.4,1013.2,01.31,
2018-01-01,19:00:00,0,0,24.7,24.7,25.1,,24.7,100,,91,6,None,1005.9,1012.8,02.31,
2018-01-01,20:00:00,0,0,24.3,24.3,24.7,,24.3,100,,95,5,None,1005.3,1012.2,03.31,
2018-01-01,21:00:00,0,0,23.8,23.8,24.3,,23.8,100,,66,5,None,1004.6,1011.5,01.00,
2018-01-01,22:00:00,0,0,23.5,23.3,23.8,,23.5,100,,91,5,None,1004.2,1011.1,02.00,
2018-01-01,23:00:00,0,0,23.2,23.1,23.5,,23.2,100,,62,5,None,1004.2,1011.1,03.00,
2018-01-02,0:00:00,0,0,23.0,23.0,23.3,,23.0,100,,88,6,None,1004.7,1011.6,04.00,
2018-01-02,1:00:00,0,0,22.7,22.7,23.0,,22.7,100,,87,5,None,1005.3,1012.2,05.00,
2018-01-02,2:00:00,0,0,23.1,22.7,23.1,,23.1,100,,75,5,None,1006.3,1013.2,06.00,
2018-01-02,3:00:00,0,0,25.5,23.1,25.5,22.7,25.5,100,,73,4,None,1007.1,1013.9,07.00,
2018-01-02,4:00:00,0,0,27.9,25.5,27.8,,27.9,100,,78,4,None,1007.6,1014.4,08.00,
2018-01-02,5:00:00,0,0,30.2,27.9,30.4,,28.7,92,,274,4,None,1007.4,1014.1,09.00,
2018-01-02,6:00:00,0,0,31.8,30.0,31.8,,27.1,76,,17,5,None,1006.8,1013.5,10.00,
2018-01-02,8:00:00,0,0,31.7,31.6,32.1,,26.3,73,,276,9,None,1004.7,1011.4,12.00,
2018-01-02,9:00:00,0,0,31.3,31.3,32.1,,28.1,83,,299,8,None,1003.8,1010.5,13.00,
2018-01-02,10:00:00,0,0,30.9,30.8,31.6,,29.0,90,,294,5,None,1003.3,1010.0,14.00,
2018-01-02,11:00:00,0,0,30.2,30.0,30.9,,29.3,95,,301,6,None,1003.5,1010.2,15.00,
2018-01-02,12:00:00,0,0,28.3,28.4,30.3,32.1,28.3,100,,305,6,None,1004.3,1011.1,16.00,
2018-01-02,13:00:00,0,0,27.3,27.3,28.3,,27.3,100,,257,5,None,1005.1,1011.9,17.00,
2018-01-02,14:00:00,0,0,27.2,27.2,27.3,,27.2,100,,293,5,None,1005.8,1012.6,18.00,
2018-01-02,15:00:00,0,0,,26.8,27.2,,,100,,290,4,None,1006.5,1015.3,19.00,
2018-01-02,16:00:00,0,0,26.8,26.7,26.9,,26.8,100,,251,4,None,1007.1,1013.9,20.00,
2018-01-02,17:00:00,0,0,26.1,26.1,26.8,,26.1,100,,168,5,None,1007.3,1014.1,00.31,
2018-01-03,6:00:00,0,0,31.2,29.7,31.3,,29.5,91,,292,5,None,1008.0,1014.7,10.00,
2018-01-03,7:00:00,0,0,30.9,30.8,31.4,,28.5,87,,271,8,None,1007.3,1014.0,11.00,
2018-01-03,8:00:00,0,0,32.2,30.9,32.1,,27.2,75,,305,7,None,1006.4,1013.1,12.00,
2018-01-03,9:00:00,0,0,31.1,31.0,32.2,,27.0,79,,277,8,None,1005.5,1012.2,13.00,
2018-01-03,10:00:00,0,0,30.7,30.8,31.5,,27.5,83,,283,9,None,1005.1,1011.8,14.00,
2018-01-03,11:00:00,0,0,5.1,29.9,30.8,,5.1,95,,311,8,None,,,15.00,
2018-01-03,12:00:00,0,0,29.0,29.0,30.1,32.2,29.0,100,,307,6,None,1005.6,1012.4,16.00,
2018-01-03,13:00:00,0,0,27.3,27.3,29.0,,27.3,100,,349,4,None,1006.3,1013.1,17.00,
2018-01-03,14:00:00,0,0,26.9,26.9,27.3,,26.9,100,,9,4,None,1007.1,1013.9,18.00,
2018-01-03,15:00:00,3,0,26.6,26.7,26.9,,,,,355,4,None,1007.9,1014.7,19.00,
2018-01-03,16:00:00,0,0,26.1,26.1,26.6,,26.1,100,,23,3,None,1008.5,1015.3,20.00,
2018-01-03,17:00:00,0,0,25.9,25.9,26.1,,25.9,100,,55,3,None,1008.8,1015.6,00.31,
2018-01-03,18:00:00,0,0,25.3,25.3,25.9,,25.3,100,,83,5,None,1008.3,1015.2,01.31,
2018-01-03,19:00:00,0,0,24.8,24.7,25.3,,24.8,100,,78,4,None,1008.1,1015.0,02.31,
2018-01-03,20:00:00,0,0,24.3,24.3,24.8,,24.3,100,,167,5,None,1007.5,1014.4,03.31,
2018-01-03,21:00:00,0,0,24.1,24.0,24.3,,24.1,100,,96,2,None,1006.5,1013.4,01.00,
2018-01-03,22:00:00,0,0,23.9,23.9,24.2,,23.9,100,,61,4,None,1005.9,1012.8,02.00,
2018-01-03,23:00:00,0,0,23.3,23.3,23.9,,23.3,100,,89,3,None,1006.0,1012.9,03.00,
2018-01-04,0:00:00,0,0,23.9,23.3,24.1,,23.9,100,,63,5,None,1006.6,1013.5,04.00,
2018-01-04,1:00:00,0,0,23.4,23.3,23.9,,23.4,100,,62,5,None,1007.3,1014.2,05.00,
2018-01-04,2:00:00,0,0,24.0,23.2,24.0,,24.0,100,,49,2,None,1008.0,1014.9,06.00,
2018-01-04,3:00:00,0,0,25.1,23.9,25.1,23.2,25.1,100,,81,5,None,1009.1,1016.0,07.00,
2018-01-04,4:00:00,0,0,28.4,25.1,28.4,,27.3,94,,79,4,None,1009.3,1016.1,08.00,
2018-01-04,5:00:00,0,0,31.4,28.4,31.4,,22.5,59,,76,4,None,1009.3,1016.0,09.00,
2018-01-04,6:00:00,0,0,33.2,31.2,33.2,,21.5,50,,41,3,None,1008.8,1015.5,10.00,
2018-01-04,7:00:00,0,0,31.7,31.6,33.4,,23.0,60,,257,5,None,1008.1,1014.8,11.00,
2018-01-04,8:00:00,0,0,32.0,31.1,32.1,,24.4,64,,241,6,None,1007.0,1013.7,12.00,
2018-01-04,9:00:00,0,0,31.6,31.2,32.0,,25.5,70,,245,7,None,1005.8,1012.5,13.00,
2018-01-04,10:00:00,0,0,30.7,30.7,31.6,,25.5,74,,264,8,None,1005.3,1012.0,14.00,
2018-01-04,11:00:00,0,0,30.2,30.0,31.2,,27.0,83,,241,5,None,1005.4,1012.1,15.00,
2018-01-04,12:00:00,0,0,28.4,28.4,30.4,33.4,28.4,100,,231,5,None,1005.7,1012.5,16.00,
2018-01-04,13:00:00,0,0,27.2,27.2,28.3,,27.2,100,,254,5,None,1006.2,1013.0,17.00,
2018-01-04,14:00:00,0,0,26.8,26.7,27.2,,26.8,100,,293,5,None,1006.9,1013.7,18.00,
2018-01-04,15:00:00,0,0,26.5,26.4,26.8,,26.5,100,,261,4,None,1007.5,1014.3,19.00,
2018-01-04,16:00:00,0,0,26.2,26.2,26.5,,26.2,100,,313,5,None,1007.9,1014.7,20.00,
2018-01-04,17:00:00,0,0,25.6,25.6,26.2,,25.6,100,,83,6,None,1008.1,1014.9,00.31,
2018-01-04,18:00:00,0,0,25.1,25.1,25.6,,25.1,100,,95,4,None,1007.8,1014.7,01.31,
2018-01-04,19:00:00,0,0,24.4,24.4,25.1,,24.4,100,,99,5,None,1007.6,1014.5,02.31,
2018-01-04,20:00:00,0,0,24.2,24.2,24.4,,24.2,100,,96,6,None,1007.0,1013.9,03.31,
2018-01-04,21:00:00,0,0,23.8,23.8,24.2,,23.8,100,,82,5,None,1006.3,1013.2,01.00,
2018-01-04,22:00:00,0,0,23.5,23.5,23.8,,23.5,100,,56,3,None,1006.1,1013.0,02.00,
2018-01-04,23:00:00,0,0,24.3,23.5,24.3,,24.3,100,,84,7,None,1006.5,1013.4,03.00,
2018-01-05,0:00:00,0,0,23.3,23.3,24.3,,23.3,100,,81,4,None,1006.9,1013.8,04.00,
2018-01-05,1:00:00,0,0,23.9,23.2,24.0,,22.7,93,,91,6,None,1007.1,1014.0,05.00,
2018-01-05,2:00:00,0,0,23.3,23.3,23.9,,23.1,99,,73,4,None,1007.6,1014.5,06.00,
2018-01-05,3:00:00,0,0,25.0,23.3,24.9,23.2,23.0,89,,229,2,None,1008.5,1015.4,07.00,
2018-01-05,4:00:00,0,0,27.8,25.0,27.7,,20.6,65,,71,4,None,1008.7,1015.5,08.00,
2018-01-05,5:00:00,0,0,30.5,27.8,30.6,,20.2,54,,4,4,None,1008.8,1015.5,09.00,
2018-01-05,6:00:00,0,0,32.2,30.4,32.2,,18.9,45,,346,5,None,1007.8,1014.5,10.00,
2018-01-05,7:00:00,0,0,32.8,31.9,33.5,,20.4,48,,291,5,None,1006.5,1013.2,11.00,
2018-01-05,8:00:00,0,0,31.8,31.5,33.0,,20.5,51,,262,7,None,1005.4,1012.1,12.00,
2018-01-05,9:00:00,0,0,31.3,30.7,32.2,,20.0,51,,298,8,None,1004.5,1011.2,13.00,
2018-01-05,10:00:00,0,0,30.3,30.4,31.5,,17.8,47,,268,10,None,1003.8,1010.5,14.00,
2018-01-05,11:00:00,0,0,30.0,29.8,30.7,,20.3,56,,296,6,None,1003.6,1010.3,15.00,
2018-01-05,12:00:00,0,0,28.7,28.7,30.0,33.5,23.2,72,,290,8,None,1004.1,1010.9,13.26,
2018-01-05,13:00:00,0,0,27.1,27.1,28.7,,26.0,94,,309,5,None,1005.0,1011.8,17.00,
2018-01-05,14:00:00,0,0,26.6,26.6,27.1,,26.6,100,,212,3,None,1005.6,1012.4,18.00,
2018-01-05,15:00:00,0,0,25.8,25.8,26.7,,25.8,100,,94,2,None,1006.3,1013.1,19.00,
2018-01-05,16:00:00,0,0,25.6,25.5,25.8,,25.6,100,,184,5,None,1006.9,1013.7,20.00,
2018-01-05,17:00:00,0,0,25.7,25.5,26.0,,25.7,100,,116,4,None,1006.9,1013.7,00.31,
2018-01-05,18:00:00,0,0,24.9,24.9,25.7,,24.9,100,,100,3,None,1006.8,1013.7,01.31,
2018-01-05,19:00:00,0,0,24.6,24.6,24.9,,24.6,100,,112,3,None,1006.6,1013.5,02.31,
2018-01-05,20:00:00,0,6,24.3,26.6,24.6,,24.3,100,,115,4,None,1006.1,1013.0,03.31,
2018-01-05,21:00:00,0,0,23.7,23.7,24.3,,23.7,100,,335,3,None,1005.4,1012.3,01.00,
2018-01-05,22:00:00,0,0,23.7,23.5,23.9,,23.7,100,,101,5,None,1005.2,1012.1,02.00,
2018-01-05,23:00:00,0,0,23.3,23.3,23.7,,23.3,100,,71,4,None,1005.2,1012.1,03.00,
2018-01-06,0:00:00,0,0,22.4,22.4,23.3,,22.4,100,,129,0,None,1005.5,1012.4,04.00,
2018-01-06,1:00:00,0,0,22.1,22.1,22.4,,22.1,100,,6,4,None,1006.0,1012.9,05.00,
2018-01-06,2:00:00,0,0,22.5,22.0,22.4,,22.5,100,,85,4,None,1006.7,1013.6,06.00,
2018-01-06,3:00:00,0,0,24.5,22.5,24.4,22.0,24.5,100,,84,6,None,1007.9,1014.8,07.00,
2018-01-06,4:00:00,0,0,27.2,24.5,27.2,,24.0,83,,161,3,None,1008.2,1015.0,08.00,
2018-01-06,5:00:00,0,0,29.7,27.2,29.8,,22.7,66,,149,3,None,1008.0,1014.8,09.00,
2018-01-06,6:00:00,0,0,30.6,29.7,30.6,,22.8,63,,236,6,None,1007.5,1014.2,10.00,
2018-01-06,7:00:00,0,0,30.8,30.3,30.8,,23.5,65,,270,5,None,1006.7,1013.4,11.00,
2018-01-06,8:00:00,0,0,31.1,30.5,31.2,,24.8,69,,237,8,None,1005.6,1012.3,12.00,
2018-01-06,9:00:00,0,0,31.0,30.9,31.3,,23.4,64,,244,8,None,1004.6,1011.3,13.00,
2018-01-06,10:00:00,0,0,29.9,29.9,31.1,,25.0,75,,270,8,None,1004.2,1010.9,14.00,
2018-01-06,11:00:00,0,0,29.7,29.7,30.1,,25.7,79,,304,6,None,1004.3,1011.0,15.00,
2018-01-06,12:00:00,0,0,28.7,28.6,29.7,31.3,27.4,93,,276,4,None,1004.9,1011.7,16.00,
2018-01-06,13:00:00,0,0,27.1,27.2,28.7,,27.1,100,,271,5,None,1005.5,1012.3,17.00,
2018-01-06,14:00:00,0,0,26.7,26.7,27.1,,26.7,100,,274,5,None,1006.6,1013.4,18.00,
2018-01-06,15:00:00,0,0,25.9,25.9,26.7,,25.9,100,,77,4,None,1007.4,1014.2,19.00,
2018-01-06,16:00:00,0,0,25.3,25.3,25.9,,25.3,100,,97,4,None,1008.0,1014.9,20.00,
2018-01-08,5:00:00,0,0,29.2,26.9,29.2,,23.4,71,,23,6,None,1009.1,1015.9,09.00,
2018-01-08,6:00:00,0,0,30.5,29.2,30.8,,21.9,60,,347,4,None,1008.4,1015.1,10.00,
2018-01-08,7:00:00,0,0,31.9,30.4,31.9,,23.5,61,,181,7,None,1007.7,1014.4,11.00,
2018-01-08,8:00:00,0,0,31.2,30.8,31.9,,23.4,63,,260,6,None,1006.7,1013.4,12.00,
2018-01-08,9:00:00,0,0,30.2,30.3,31.3,,23.2,66,,243,10,None,1005.9,1012.6,13.00,
2018-01-08,10:00:00,0,0,30.3,29.9,30.5,,24.2,70,,238,5,None,1005.5,1012.2,14.00,
2018-01-08,11:00:00,0,0,29.5,29.3,30.3,,24.4,74,,289,7,None,1005.5,1012.2,15.00,
2018-01-08,12:00:00,0,0,27.9,28.0,29.5,31.9,26.1,90,,228,6,None,1006.1,1012.9,16.00,
2018-01-08,13:00:00,0,0,26.5,26.5,27.9,,26.5,100,,240,5,None,1006.7,1013.5,17.00,
2018-01-08,14:00:00,0,0,26.1,26.0,26.5,,26.1,100,,245,5,None,1007.3,1014.1,18.00,
2018-01-08,15:00:00,0,0,25.7,25.7,26.1,,25.7,100,,282,5,None,1008.1,1014.9,19.00,
2018-01-08,16:00:00,0,0,25.2,25.2,25.7,,25.2,100,,18,5,None,1008.5,1015.4,20.00,
2018-01-08,17:00:00,0,0,24.2,24.2,25.2,,24.2,100,,67,5,None,1008.3,1015.2,00.31,
2018-01-08,18:00:00,0,0,23.6,23.6,24.2,,23.6,100,,81,6,None,1008.2,1015.1,01.31,
2018-01-08,19:00:00,0,0,23.1,23.1,23.6,,23.1,100,,89,6,None,1008.0,1014.9,02.31,
2018-01-08,20:00:00,0,0,22.9,22.8,23.1,,22.9,100,,109,5,None,1007.8,1014.7,03.31,
