DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),
2018-01-01,5:00:00,0,0,27.7,26.5,27.8,,20.3,64,,10,3,None,1010.9,1011.9,09.00,
2018-01-01,6:00:00,0,0,28.7,27.4,28.9,,20.2,60,,44,3,None,1009.9,1010.9,10.00,
2018-01-01,7:00:00,0,0,28.9,28.7,29.8,,20.7,61,,61,4,None,1008.9,1009.9,11.00,
2018-01-01,8:00:00,0,0,28.7,28.2,28.9,,21.5,65,,62,4,None,1007.8,1008.8,12.00,
2018-01-01,9:00:00,0,0,27.8,27.7,28.9,,22.3,72,,52,2,None,1007.3,1008.3,13.00,
2018-01-01,10:00:00,0,0,29.0,27.8,29.3,,22.3,67,,50,2,None,1006.7,1007.7,14.00,
2018-01-01,11:00:00,0,0,28.7,28.3,29.0,,22.5,69,,73,3,None,1006.6,1007.6,15.00,
2018-01-01,12:00:00,0,0,27.0,27.0,28.7,29.8,21.5,72,,55,2,None,1006.9,1007.9,16.00,
2018-01-01,13:00:00,0,0,25.9,25.9,27.0,,22.2,80,,66,2,None,1007.4,1008.4,17.00,
2018-01-01,14:00:00,0,0,25.5,25.4,25.9,,22.6,84,,73,2,None,1008.1,1009.1,18.00,
2018-01-01,15:00:00,0,0,25.5,25.3,25.5,,22.4,83,,67,2,None,1008.8,1009.8,19.00,
2018-01-01,16:00:00,0,0,25.2,25.2,25.5,,22.7,86,,77,1,None,1009.5,1010.5,20.00,
2018-01-01,17:00:00,0,0,24.7,24.8,25.3,,22.2,86,,74,2,None,1009.4,1010.4,00.31,
2018-01-01,18:00:00,0,0,24.0,24.0,24.8,,22.0,89,,75,1,None,1008.9,1009.9,01.31,
2018-01-01,19:00:00,0,0,23.5,23.5,24.0,,21.9,91,,341,1,None,1008.5,1009.5,02.31,
2018-01-01,20:00:00,0,0,23.2,23.1,23.5,,22.0,93,,343,0,None,1007.8,1008.8,03.31,
2018-01-01,21:00:00,0,0,22.9,22.9,23.2,,21.8,94,,4,0,None,1007.3,1008.3,01.00,
2018-01-01,22:00:00,0,0,23.0,22.8,23.1,,21.9,94,,358,1,None,1006.9,1007.9,02.00,
2018-01-01,23:00:00,0,0,,0.0,0.0,,,,,0,0,None,,,0,
2018-01-02,0:00:00,0,0,22.9,22.8,23.1,,22.0,95,,339,1,None,1007.5,1008.5,04.00,
2018-01-02,1:00:00,0,0,23.0,22.8,23.1,,21.8,93,,264,0,None,1008.3,1009.3,05.00,
2018-01-02,2:00:00,0,0,23.7,22.9,23.6,,21.6,88,,269,1,None,1009.4,1010.4,06.00,
2018-01-02,3:00:00,0,0,0.0,23.7,25.5,0.0,-3.4,78,,14,1,None,1010.4,1011.5,07.00,
2018-01-02,4:00:00,0,0,26.9,25.5,27.0,,22.1,75,,335,1,None,1010.9,1011.9,08.00,
2018-01-02,5:00:00,0,0,27.4,26.4,28.0,,22.1,73,,34,2,None,1010.6,1011.6,09.00,
2018-01-02,6:00:00,0,0,28.9,27.4,29.2,,22.4,68,,60,3,None,1010.1,1011.1,10.00,
2018-01-02,7:00:00,0,0,29.4,28.9,30.0,,21.9,64,,46,2,None,1009.3,1010.3,11.00,
2018-01-02,8:00:00,0,0,28.7,28.5,29.8,,22.2,68,,104,2,None,1008.2,1009.2,12.00,
2018-01-02,10:00:00,0,0,29.3,28.0,29.6,,22.3,66,,72,4,None,1007.1,1008.1,14.00,
2018-01-02,11:00:00,0,0,28.1,28.2,29.3,,22.1,70,,65,5,None,1007.1,1008.1,15.00,
2018-01-02,12:00:00,0,0,26.6,26.7,28.4,30.0,22.2,77,,87,2,None,1007.6,1008.6,16.00,
2018-01-02,13:00:00,0,0,26.1,26.0,26.6,,22.6,81,,77,4,None,1008.4,1009.4,17.00,
2018-01-02,14:00:00,0,0,25.8,25.8,26.1,,22.7,83,,72,2,None,1009.2,1010.2,18.00,
2018-01-02,15:00:00,0,0,25.7,25.7,25.9,,22.6,83,,68,2,None,1010.0,1011.0,19.00,
2018-01-02,16:00:00,0,0,19.1,0.0,25.8,,16.5,85,,68,2,None,1010.5,1011.5,20.00,
2018-01-02,17:00:00,0,0,25.6,25.5,25.8,,22.7,84,,70,1,None,1010.6,1011.6,00.31,
2018-01-03,7:00:00,0,0,29.7,28.0,29.9,,21.7,62,,59,3,None,1011.0,1012.0,11.00,
2018-01-03,8:00:00,0,0,29.9,29.1,30.1,,20.8,58,,88,3,None,1010.0,1011.0,12.00,
2018-01-03,9:00:00,6,0,0.0,29.3,30.3,,-8.5,53,,71,0,None,1009.1,1010.2,13.00,
2018-01-03,10:00:00,0,0,29.4,28.9,30.0,,20.0,57,,77,4,None,1008.8,1009.8,14.00,
2018-01-03,11:00:00,0,0,28.2,28.3,29.4,,20.0,61,,73,4,None,1009.1,1010.1,15.00,
2018-01-03,12:00:00,0,0,27.0,26.9,28.2,,20.4,67,,69,3,None,1009.6,1010.6,16.00,
2018-01-03,13:00:00,0,0,26.2,26.1,27.0,,20.8,72,,65,2,None,1010.3,1011.3,17.00,
2018-01-03,14:00:00,0,0,25.8,25.8,26.2,,21.5,77,,73,2,None,1011.3,1012.3,18.00,
2018-01-03,15:00:00,0,0,25.6,,,,21.7,79,,68,2,None,1011.9,1012.9,19.00,
2018-01-03,16:00:00,0,0,25.4,25.4,25.7,,21.5,79,,73,2,None,1012.4,1013.4,20.00,
2018-01-03,17:00:00,0,0,25.4,25.2,25.6,,21.7,80,,61,2,None,1012.3,1013.3,00.31,
2018-01-03,18:00:00,0,0,25.6,25.3,25.7,,21.0,76,,68,3,None,1012.0,1013.0,01.31,
2018-01-03,19:00:00,0,0,25.4,25.4,25.7,,21.9,81,,71,3,None,1011.8,1012.8,02.31,
2018-01-03,20:00:00,0,0,25.3,25.2,25.5,,20.5,75,,84,2,None,1011.4,1012.4,03.31,
